danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,artist_genres,track_name,artist_name,album,user
0.794,0.838,-6.526,0.141,0.165,1.07e-06,0.558,0.641,100.124,4ljxxdaJncZ5hsY2C4pAk5,spotify:track:4ljxxdaJncZ5hsY2C4pAk5,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",G Funk Intro,Snoop Dogg,Doggystyle,Mimi
0.877,0.6,-4.577,0.0809,0.021,5.38e-05,0.244,0.176,149.992,19n8izXThARSuQAXrOKNbO,spotify:track:19n8izXThARSuQAXrOKNbO,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",Avalon,$uicideboy$,Long Term Effects of SUFFERING,Mimi
0.627,0.825,-6.032,0.492,0.0933,0.00232,0.594,0.556,138.033,4iShoHVUGeSVT7jqyAVgnC,spotify:track:4iShoHVUGeSVT7jqyAVgnC,"['glitchcore', 'hyperpop']",GOD,2hollis,2,Mimi
0.747,0.696,-9.508,0.0465,0.00119,0.5,0.0964,0.891,130.324,6o43Gi1cX7Nyi6koSkwIBc,spotify:track:6o43Gi1cX7Nyi6koSkwIBc,"['dark synthpop', 'grave wave']",Navy Light,Labyrinth Ear,Oak,Mimi
0.88,0.443,-6.359,0.0653,0.462,7.13e-06,0.122,0.803,138.018,60PAzFNW3vAiAiVK6DRJfB,spotify:track:60PAzFNW3vAiAiVK6DRJfB,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",Day 'N' Nite (Nightmare),Kid Cudi,Man On The Moon: The End Of Day (Int'l Version),Mimi
0.389,0.906,-5.897,0.0293,0.000405,0.83,0.368,0.294,107.185,2yXFFgJgzB2ozeW17xjzyA,spotify:track:2yXFFgJgzB2ozeW17xjzyA,"['alternative emo', 'dreamo', 'emo', 'grungegaze', 'spacegrunge']",In-Between,Title Fight,Floral Green,Mimi
0.774,0.623,-10.372,0.324,0.299,0.0,0.385,0.928,86.233,4DcrZLp19qTdBYqc2bgj3V,spotify:track:4DcrZLp19qTdBYqc2bgj3V,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap', 'queens hip hop']",Sucka Nigga,A Tribe Called Quest,Midnight Marauders,Mimi
0.611,0.718,-6.064,0.0283,0.0562,0.927,0.194,0.57,105.788,52Td1R2HmvP5gevSgUaifx,spotify:track:52Td1R2HmvP5gevSgUaifx,"['hypnagogic pop', 'utopian virtual']",Middle of Nowhere,Macabre Plaza,Remember Me? EP from Mp,Mimi
0.802,0.983,-2.266,0.0629,0.0328,0.362,0.0978,0.358,139.993,2DjfjCE8rJU7FLg5pg06hY,spotify:track:2DjfjCE8rJU7FLg5pg06hY,['drift phonk'],LET'S RIDE! - Drift Phonk,SXMPRA,LET'S RIDE! (Drift Phonk),Mimi
0.614,0.544,-9.386,0.0285,0.233,0.0534,0.126,0.383,88.776,4HcoOySjWrhxpGpo32HPg1,spotify:track:4HcoOySjWrhxpGpo32HPg1,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']",Living on a Thin Line,The Kinks,Word of Mouth,Mimi
0.757,0.443,-8.348,0.0324,0.904,0.0421,0.116,0.387,99.987,1An94iHFKObQq2brAVl5La,spotify:track:1An94iHFKObQq2brAVl5La,"['art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop']",Rosa,Grimes,Geidi Primes,Mimi
0.754,0.825,-5.366,0.194,0.039,0.0,0.0744,0.64,95.073,66orjI5vOkyxOZLHWrPklh,spotify:track:66orjI5vOkyxOZLHWrPklh,"['detroit hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",X Gon' Give It To Ya - Int'l Bonus track,DMX,Grand Champ,Mimi
0.597,0.427,-6.764,0.0536,0.18,1.33e-05,0.121,0.0997,120.085,787rCZF9i4L1cXGMkdyIk4,spotify:track:787rCZF9i4L1cXGMkdyIk4,"['east coast hip hop', 'hip hop', 'rap', 'trap']",LVL,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),Mimi
0.654,0.95,-3.163,0.137,0.00223,0.0,0.406,0.351,140.009,20bJBbPapGQ4bqs0YcA9xY,spotify:track:20bJBbPapGQ4bqs0YcA9xY,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",Just What I Am,Kid Cudi,Indicud,Mimi
0.585,0.976,-4.764,0.116,0.0492,0.00798,0.21,0.684,133.997,4luiQl18IztB9tmtn0ACV0,spotify:track:4luiQl18IztB9tmtn0ACV0,['synth punk'],California Dream Girl,The Hellp,California Dream Girl,Mimi
0.588,0.832,-4.219,0.05,0.000132,0.000151,0.292,0.76,121.973,3EBCX213tph37xvo20rnsO,spotify:track:3EBCX213tph37xvo20rnsO,"['alternative dance', 'bitpop', 'digital hardcore', 'indietronica', 'neo-synthpop', 'new rave', 'nintendocore']",Pap Smear,Crystal Castles,Crystal Castles (II),Mimi
0.704,0.873,-4.057,0.144,0.121,5.12e-06,0.24,0.742,154.914,19FsxX4RthRMZGfXkImdCb,spotify:track:19FsxX4RthRMZGfXkImdCb,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",Notorious Thugs - 2014 Remaster,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),Mimi
